"MP Name","Constituency","State","House","Allocated Amount (₹)","Total Expenditure (₹)","Utilization %","Completed Works","Recommended Works","Completion Rate %","Unspent Amount (₹)","Transaction Count","Successful Payments","Pending Payments","Average Rating"
"Shri Shambhu Sharan Patel (2022-28)","Sitting Rajya Sabha","Bihar","Rajya Sabha",237168443.49,175484824,73.99,199,108,64.82,61683619.49000001,221,216,5,"N/A"
"Dr. Dharmshila Gupta (2024-30)","Sitting Rajya Sabha","Bihar","Rajya Sabha",186200000,136714265,73.42,87,55,61.27,49485735,113,109,4,"N/A"
"Smt. Mahua Maji (2022-28)","Sitting Rajya Sabha","Jharkhand","Rajya Sabha",232524001.2,163193927,70.18,150,315,32.26,69330074.19999999,598,598,0,"N/A"
"Shri Aditya Prasad (2022-28)","Sitting Rajya Sabha","Jharkhand","Rajya Sabha",227628508.2,159474868,70.06,141,85,62.39,68153640.19999999,383,382,1,"N/A"
"Shri R. Girirajan (2022-28)","Sitting Rajya Sabha","Tamil Nadu","Rajya Sabha",236312242.52,165328944,69.96,150,71,67.87,70983298.52000001,189,187,2,"N/A"
"Shri Baburam Nishad (2022-28)","Sitting Rajya Sabha","Uttar Pradesh","Rajya Sabha",196063957.11,136082109.32,69.41,436,213,67.18,59981847.79000002,595,592,3,"N/A"
"Smt. Sadhna Singh (2024-30)","Sitting Rajya Sabha","Uttar Pradesh","Rajya Sabha",147000000,101298179,68.91,5,13,27.78,45701821,37,33,4,"N/A"
"Shri Gulam Ali (2022-28)","Nominated Rajya Sabha","Jammu And Kashmir","Rajya Sabha",196063957.11,134033715,68.36,156,29,84.32,62030242.110000014,192,190,2,"N/A"
"Shri Arun Singh (2020-26)","Sitting Rajya Sabha","Uttar Pradesh","Rajya Sabha",223492764.11,151462382,67.77,46,65,41.44,72030382.11000001,197,190,7,"N/A"
"Dr. Sandeep Kumar Pathak (2022-28)","Sitting Rajya Sabha","Punjab","Rajya Sabha",232203454.24,156797999,67.53,156,122,56.12,75405455.24000001,1084,1082,2,"N/A"
"Shri Satish Chandra Dubey (2022-28)","Sitting Rajya Sabha","Bihar","Rajya Sabha",235263957.11,158349542,67.31,162,87,65.06,76914415.11000001,205,204,1,"N/A"
"Shri Sant Balbir Singh (2022-28)","Sitting Rajya Sabha","Punjab","Rajya Sabha",196359074.44000003,131995905.41,67.22,206,166,55.38,64363169.03000003,757,755,2,"N/A"
"Shri Jaggesh (2022-28)","Sitting Rajya Sabha","Karnataka","Rajya Sabha",196063957.11,130587101,66.6,126,82,60.58,65476856.110000014,166,166,0,"N/A"
"Dr. Kavita Patidar (2022-28)","Sitting Rajya Sabha","Madhya Pradesh","Rajya Sabha",197118521.35000002,126777000.12,64.32,142,75,65.44,70341521.23000002,426,426,0,"N/A"
"Shri Ramji Lal Suman (2024-30)","Sitting Rajya Sabha","Uttar Pradesh","Rajya Sabha",147000000,93005621,63.27,29,35,45.31,53994379,120,120,0,"N/A"
"Dr. K. Laxman (2022-28)","Sitting Rajya Sabha","Uttar Pradesh","Rajya Sabha",197637007.11,123809716,62.65,275,48,85.14,73827291.11000001,323,311,12,"N/A"
"Shri K.R.N. Rajeshkumar (2022-28)","Sitting Rajya Sabha","Tamil Nadu","Rajya Sabha",238513975.53,148008917,62.05,84,18,82.35,90505058.53,96,95,1,"N/A"
"Shri Chandrakant Damodar Handore (2024-30)","Sitting Rajya Sabha","Maharashtra","Rajya Sabha",147000000,91048479,61.94,9,29,23.68,55951521,26,26,0,"N/A"
"Shri Dorjee Tshering Lepcha (2024-30)","Sitting Rajya Sabha","Sikkim","Rajya Sabha",150170726.11,91921040,61.21,85,33,72.03,58249686.110000014,183,183,0,"N/A"
"Shri Tejveer Singh (2024-30)","Sitting Rajya Sabha","Uttar Pradesh","Rajya Sabha",147000000,89900058,61.16,53,33,61.63,57099942,152,150,2,"N/A"
"Dr. Sikander Kumar (2022-28)","Sitting Rajya Sabha","Himachal Pradesh","Rajya Sabha",207863957.11,126093485.04,60.66,168,226,42.64,81770472.07000001,412,405,7,"N/A"
"Shri Ratanjit Pratap Narain Singh (2024-30)","Sitting Rajya Sabha","Uttar Pradesh","Rajya Sabha",147000000,88769750,60.39,83,42,66.4,58230250,209,208,1,"N/A"
"Shri Mukul Wasnik (2022-28)","Sitting Rajya Sabha","Rajasthan","Rajya Sabha",196063957.11,113678488.01,57.98,94,79,54.34,82385469.10000001,452,439,13,"N/A"
"Shri Pradip Kumar Varma (2024-30)","Sitting Rajya Sabha","Jharkhand","Rajya Sabha",178564551.09,101069118,56.6,24,214,10.08,77495433.09,244,230,14,"N/A"
"Shri P. Chidambaram (2022-28)","Sitting Rajya Sabha","Tamil Nadu","Rajya Sabha",236312242.52,132583554,56.11,75,69,52.08,103728688.52000001,188,186,2,"N/A"
"Dr. Vikramjit Singh Sahney (2022-28)","Sitting Rajya Sabha","Punjab","Rajya Sabha",198656208.57000002,111224375.74,55.99,27,33,45,87431832.83000003,348,346,2,"N/A"
"Shri Naresh Bansal (2020-26)","Sitting Rajya Sabha","Uttarakhand","Rajya Sabha",222043184.71,124316327,55.99,106,127,45.49,97726857.71000001,215,212,3,"N/A"
"Shri Meda Raghunadha Reddy (2024-30)","Sitting Rajya Sabha","Andhra Pradesh","Rajya Sabha",147000000,81094462,55.17,110,139,44.18,65905538,137,131,6,"N/A"
"Shri Rwngwra Narzary (2022-28)","Sitting Rajya Sabha","Assam","Rajya Sabha",220563957.11,118006237,53.5,16,150,9.64,102557720.11000001,174,174,0,"N/A"
"Shri Vivek K. Tankha (2022-28)","Sitting Rajya Sabha","Madhya Pradesh","Rajya Sabha",220563957.11,116080421,52.63,118,388,23.32,104483536.11000001,631,625,6,"N/A"
"Shri Imran Pratapgarhi (2022-28)","Sitting Rajya Sabha","Maharashtra","Rajya Sabha",196000000,102738277,52.42,53,55,49.07,93261723,75,75,0,"N/A"
"Shri Narayanasa K. Bhandage (2024-30)","Sitting Rajya Sabha","Karnataka","Rajya Sabha",147450000,77113625,52.3,87,69,55.77,70336375,165,163,2,"N/A"
"Shri Chunnilal Garasiya (2024-30)","Sitting Rajya Sabha","Rajasthan","Rajya Sabha",147000000,75813515,51.57,24,152,13.64,71186485,177,176,1,"N/A"
"Shri Pramod Tiwari (2022-28)","Sitting Rajya Sabha","Rajasthan","Rajya Sabha",196063957.11,100649660,51.34,64,66,49.23,95414297.11000001,219,218,1,"N/A"
